Facility Code,Facility UID,State Unique ID,Registration No,Alternate Name,Start Date,Ownership,Ownership Type,Facility Level,Facility Level Option,Days of Operation,Hours of Operation,State,LGA,Ward,Physical Location,Postal Address,Longitude,Latitude,Phone Number,Alternate Number,Email Address,Website,Operational Status,Registration Status,License Status,Out Patient Services,In Patient Services,Medical Services,Surgical Services,Obsterics and Gynecology Services,Pediatrics Services,Dental Services,Specific Clinical Services,Total number of Beds,Onsite Laboratory,Onsite Imaging,Onsite Pharmacy,Mortuary Services,Ambulance Services,Number of Doctors,Number of Pharmacists,Number Pharmacy Technicians,Number of Dentists,Number of Dental Technicians,Number of Nurses,Number of Midwifes,Number of Nurses/Midwifes,Number of Lab Technicians,Number of Lab Scientits,Health Records/HIM Officers,Number of Community Health Officer,Number of Community Health Extension Worker,Number of Junior Com Health Extension Worker,Number of Environmental Health Officers,Number of Health Attendant/Assistant:
04/16/1/2/2/0072,71109243,71109243,,,2019-01-11,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Ogbaru,Okpoko ward IV,Near Chukwu Memorial Hospital and MAaternity,1 Aguku st okpoko,6.79263,6.11725,0803-721-033_,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,,12,No,No,No,No,No,,,,,,,,1,,,,,,,,5
04/16/1/2/2/0070,50494430,50494430,,,2000-01-01,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Ogbaru,Okpoko ward IV,Near Mother of Mercy hospital and maternity,39 Amiri street okpoko,6.79113,6.11895,0816-698-8833,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Tuberculosis, Non Communicable Diseases, Family Planning, Intensive Care Services , Communicable Diseases, Hepatitis, Child Survival, Accidents and Emergency, Nutrition, Health Education and Community Mobilization, Maternal and newborn care",4,No,No,No,No,No,2,,,,,,,1,1,,,,,,,
04/16/1/1/2/0006,39223784,39223784,,,2000-01-01,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Ogbaru,Okpoko ward V,Ekesson junction,No 2 Ekwenche Street,6.7914395,6.1070416,0803-757-9719,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Tuberculosis, Non Communicable Diseases, Family Planning, Intensive Care Services , Communicable Diseases, Hepatitis, Child Survival, Accidents and Emergency, Nutrition, Health Education and Community Mobilization, Maternal and newborn care",19,,,,,No,1,,,,,1,1,,,,,,,,,5
04/16/1/2/2/0002,36474183,36474183,,,2000-01-01,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",,Anambra,Ogbaru,Okpoko ward V,,No 1 Edmund Avenue Okpoko,6.7866537,6.1134541,0903-081-3042,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Tuberculosis, Non Communicable Diseases, Family Planning, Intensive Care Services , Communicable Diseases, Hepatitis, Child Survival, Accidents and Emergency, Nutrition, Health Education and Community Mobilization, Maternal and newborn care",,,,,,No,1,,,,,1,1,,,,,,,,,4
04/16/1/1/1/0063,59894790,59894790,,,2000-01-01,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Ogbaru,Okpoko ward V,Near I T C park,uNo 8 Nwanwulu street o,6.790339190,6.1138509,0902-671-1847,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Tuberculosis, Non Communicable Diseases, Family Planning, Intensive Care Services , Communicable Diseases, Hepatitis, Child Survival, Accidents and Emergency, Nutrition, Health Education and Community Mobilization, Maternal and newborn care",6,No,No,No,No,No,1,,,,,1,,,,,,,,,,4
04/16/1/1/2/0021,75072052,75072052,,,2000-01-01,Private,For Profit,Primary,Primary Health Center,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Ogbaru,Okpoko ward V,Near Chukwu Memorial Hospital and MAaternity,Nwawulu street,6.7894,6.11383,0803-508-6647,,,,Operational,Registered,Licensed,,,,,,,,"Antenatal Care (ANC), Immunization, Non Communicable Diseases, Communicable Diseases, Accidents and Emergency, Nutrition, Health Education and Community Mobilization, Maternal and newborn care",7,,,,,No,,,,,,1,,,,,,,1,,,3
04/16/1/2/2/0071,71406127,71406127,,,2001-03-11,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Ogbaru,Okpoko ward V,,9 Offor street,6.78475,6.11361,0080-642-4078,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Tuberculosis, Non Communicable Diseases, Family Planning, Intensive Care Services , Communicable Diseases, Hepatitis, Child Survival, Accidents and Emergency, Nutrition, Health Education and Community Mobilization, Maternal and newborn care",4,No,No,No,No,No,2,,,,,,,1,,,,,1,,,
04/16/1/1/1/0063,17063249,17063249,,,2001-08-01,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Ogbaru,Okpoko ward V,School Road Okpoko,,6.78572,6.12067,,,,,Operational,Registered,Licensed,,,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Tuberculosis, Non Communicable Diseases, Family Planning, Intensive Care Services , Communicable Diseases, Hepatitis, Child Survival, Accidents and Emergency, Nutrition, Health Education and Community Mobilization, Maternal and newborn care, Scanning",10,No,No,No,No,No,2,,,2,,,,2,,,,,2,,,5
04/16/1/1/1/0063,66118928,66118928,,,2000-01-01,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Ogbaru,Okpoko ward VI,,,6.7781545,6.1155784,0803-258-8875,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Tuberculosis, Non Communicable Diseases, Family Planning, Intensive Care Services , Communicable Diseases, Accidents and Emergency, Nutrition, Health Education and Community Mobilization, Maternal and newborn care",7,No,No,No,No,No,,,,,,,,1,,,,,,,,6
04/16/1/1/2/0008,56743904,56743904,,,2000-01-01,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",,Anambra,Ogbaru,Okpoko ward VI,Near SS John Paul,1 GMO road,6.7696,6.1203,0793-350-6810,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Tuberculosis, Non Communicable Diseases, Family Planning, Intensive Care Services , Communicable Diseases, Hepatitis, Child Survival, Accidents and Emergency, Nutrition, Health Education and Community Mobilization, Maternal and newborn care",19,,,,,No,,,,,,,,3,,,,,,,,6
04/16/1/1/1/0063,80627689,80627689,,,2000-01-01,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Ogbaru,Okpoko ward VI,Near Goodnews hospital,38 G.M.O road,6.7747309,6.1176982,0703-664-0456,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Tuberculosis, Non Communicable Diseases, Family Planning, Intensive Care Services , Communicable Diseases, Hepatitis, Child Survival, Accidents and Emergency, Nutrition, Health Education and Community Mobilization, Maternal and newborn care",11,No,No,No,No,No,2,,,,,,,3,,,,,,,,15
04/16/1/2/2/0078,25206735,25206735,,,2000-01-01,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Ogbaru,Okpoko ward VI,Obodoukwu by Atani  road junction,7 Atani road,6.77033,6.12185,0703-792-1700,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Tuberculosis, Non Communicable Diseases, Family Planning, Communicable Diseases, Hepatitis, Child Survival, Accidents and Emergency, Nutrition, Health Education and Community Mobilization, Maternal and newborn care",16,No,No,No,No,No,1,,,,,,,,,,,,,,,7
04/16/1/1/2/0016,45697958,45697958,,,2000-01-01,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Ogbaru,Okpoko ward VI,Near Ogboafele market,143 Obodoukwu road Okpoko,6.7826746,6.1255388,0806-845-3998,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Tuberculosis, Non Communicable Diseases, Family Planning, Intensive Care Services , Communicable Diseases, Hepatitis, Child Survival, Accidents and Emergency, Nutrition, Health Education and Community Mobilization",19,,,,,No,2,,,,,,,,1,,,,1,,,17
04/16/1/2/2/0074,84039808,84039808,,,2019-11-11,Private,For Profit,Primary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Ogbaru,Okpoko ward VI,67 Chidiebere Street Okpoko,,6.78389,6.12048,0703-709-6552,,,,Operational,,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), Immunization, Non Communicable Diseases, Family Planning, Communicable Diseases, Hepatitis, Child Survival, Accidents and Emergency, Nutrition, Health Education and Community Mobilization, Maternal and newborn care",4,No,No,No,No,No,,,,,,,,1,,,,,,,,1
04/16/1/1/1/0017,60275315,60275315,,,2000-01-01,Private,For Profit,Primary,Primary Health Center,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Ogbaru,Okpoko ward VI,,,6.77977,6.11906,0803-453-9479,,,,Operational,Registered,Licensed,,,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Non Communicable Diseases, Family Planning, Communicable Diseases, Child Survival, Nutrition, Health Education and Community Mobilization, Maternal and newborn care",9,,,,,No,,,,,,,,2,,,,,,,,3
04/16/1/1/2/0020,68264952,68264952,,,2000-10-10,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Ogbaru,Okpoko ward VI,Near Mogamnbo market,,6.78403,6.12375,0806-930-8064,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Tuberculosis, Non Communicable Diseases, Family Planning, Intensive Care Services , Communicable Diseases, Hepatitis, Child Survival, Accidents and Emergency, Nutrition, Health Education and Community Mobilization, Maternal and newborn care",8,,,,,No,2,,,,,,,3,,,,,,,,2
04/16/1/2/1/0001,52879344,52879344,,,2000-01-01,Public,State Government,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Ogbaru,Ossomalla,Ossomala,,6.69336,5.87128,0814-285-4908,,,,Operational,Not Applicable,Licensed,,,,,,,,"Antenatal Care (ANC), HIV/ AIDS Services, Tuberculosis, Non Communicable Diseases, Family Planning, Intensive Care Services , Communicable Diseases, Hepatitis, Child Survival, Accidents and Emergency, Nutrition, Health Education and Community Mobilization, Maternal and newborn care, Scanning",8,,,,,No,2,,,,,3,,5,,,1,,,,,
04/17/1/1/1/0001,72929085,72929085,,,1980-11-15,Public,Local Government,Primary,Health Post,"Monday,Tuesday,Wednesday,Thursday,Friday",08am-06pm,Anambra,Onitsha North,3-3 Marine 6,St Theresa Catholic Church 33,,6.80327,6.15053,0806-455-2206,,,,Operational,Registered,Licensed,,,,,,,,"Antenatal Care (ANC), Immunization, Family Planning, Nutrition, Health Education and Community Mobilization",1,,,,,No,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
04/17/1/1/2/0002,36064765,36064765,,,2001-05-07,Public,Local Government,Primary,Primary Health Clinic,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Onitsha North,3-3 Marine 6,"No 10 Micheal  Areh street,Akpaka",,6.78222,6.18056,0813-821-6786,,,,Operational,Registered,Licensed,,,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Tuberculosis, Non Communicable Diseases, Family Planning, Communicable Diseases, Nutrition, Health Education and Community Mobilization, Maternal and newborn care",1,,,Yes,,No,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
04/17/1/1/1/0006,56222797,56222797,,,2000-01-01,Public,Federal Government,Primary,Health Post,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24HRS,Anambra,Onitsha North,3-3 Marine 6,Inside Federal Government Girls C0llege Premises,,6.78403,6.15687,0703-718-2757,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,Non Communicable Diseases,5,,,,,No,1,0,0,0,0,1,0,4,0,0,0,0,0,0,0,1
04/17/1/1/1/0009,19128479,19128479,,,2000-01-01,Public,Local Government,Primary,Health Post,"Monday,Tuesday,Wednesday,Thursday,Friday",08am-06pm,Anambra,Onitsha North,3-3 Marine 6,Prison Qurters,,6.778136,6.169473,0803-428-6027,,,,Operational,Registered,Licensed,Yes,,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Tuberculosis, Non Communicable Diseases, Family Planning, Communicable Diseases, Nutrition, Health Education and Community Mobilization",0,,,,,No,0,0,0,0,0,0,0,0,0,0,,0,1,1,0,0
04/17/1/1/2/0003,67893814,67893814,,,2001-01-10,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Onitsha North,American Quarters ward 1,11 Ekwerekwu st,,6.78238,6.1568,0907-160-6876,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), Immunization, Non Communicable Diseases, Family Planning, Communicable Diseases, Nutrition, Health Education and Community Mobilization, Maternal and newborn care",30,,,,,No,3,0,2,0,0,0,0,21,5,0,0,0,0,1,0,7
04/17/1/2/2/0012,77259861,77259861,,,1984-07-09,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Onitsha North,American Quarters ward 1,17 Enugu Road Onitsha,,6.78649,6.15617,0806-843-3696,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Non Communicable Diseases, Family Planning, Nutrition, Health Education and Community Mobilization, Maternal and newborn care",15,,,,,No,5,1,3,0,0,0,0,7,0,5,0,0,0,0,0,15
04/17/1/2/2/0070,71223810,71223810,,,2000-07-10,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24 hours,Anambra,Onitsha North,American Quarters ward 1,"No 103B Upper New Market  Road ,Onitsha",,6.78777,6.15311,0802-706-9745,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,,10,No,No,Yes,No,No,2,0,0,0,1,0,0,2,1,0,1,0,0,0,0,5
04/17/1/2/2/0066,61208935,61208935,,,1984-07-12,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Onitsha North,American Quarters ward 1,4A New American Quarters,,6.78423,6.13791,0803-891-5872,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), HIV/ AIDS Services, Non Communicable Diseases, Communicable Diseases, Hepatitis, Nutrition",30,No,No,No,No,No,3,0,0,0,0,2,2,3,1,0,3,0,5,0,0,6
04/17/1/1/2/0006,50666335,50666335,,,2065-03-08,Public,Military & Paramilitary formations,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Onitsha North,Army Barracks ward 2,Army Barracks,,6.810572,6.132446,0817-725-4552,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Tuberculosis, Non Communicable Diseases, Family Planning, Communicable Diseases, Hepatitis, Nutrition, Health Education and Community Mobilization, Maternal and newborn care",15,,,,,No,1,1,1,0,0,0,0,8,1,1,0,0,10,0,4,12
04/10/1/1/2/0042,69580583,69580583,,,1999-11-05,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Onitsha North,Army Barracks ward 2,1 Ekwulobia st,,6.801008,6.197385,0803-721-8937,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Non Communicable Diseases, Family Planning, Communicable Diseases, Nutrition, Health Education and Community Mobilization",10,,,,,No,1,0,1,0,0,0,0,0,1,0,0,0,2,0,0,5
04/17/1/1/2/0030,79371727,79371727,,,2012-02-03,Public,Local Government,Primary,Health Post,"Monday,Tuesday,Wednesday,Thursday,Friday",06am-08pm,Anambra,Onitsha North,Army Barracks ward 2,Inside Acension Church Premises,,6.82081,6.13863,0803-751-0277,,,,Operational,Registered,Licensed,Yes,,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Non Communicable Diseases, Family Planning, Communicable Diseases, Nutrition, Health Education and Community Mobilization",2,,,,,No,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0
04/17/1/2/2/0069,54479862,54479862,,,2016-07-08,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hours,Anambra,Onitsha North,Army Barracks ward 2,No  11Sam Ezeofia Akpaka GrA 2,,6.78252,6.17479,0809-525-9049,,,,Operational,Registered,Licensed,,,,,,,,,9,No,No,Yes,No,No,2,0,1,0,0,1,0,2,1,0,2,0,2,0,0,2
04/17/1/2/2/0017,55416943,55416943,,,1965-04-01,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Onitsha North,Army Barracks ward 2,555 Onitsha Old Limca Rd,,6.81812,6.14336,0803-782-1157,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Tuberculosis, Non Communicable Diseases, Intensive Care Services , Communicable Diseases, Hepatitis, Nutrition, Health Education and Community Mobilization, Maternal and newborn care",260,Yes,Yes,Yes,Yes,Yes,42,5,12,1,1,8,5,62,15,10,,0,20,0,0,20
04/17/1/1/2/0061,27156268,27156268,,,1996-07-09,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hours,Anambra,Onitsha North,Army Barracks ward 2,"2AMgbemena Street ,along  Owerri road",,6.79602,6.13479,0803-832-2936,,,,Operational,Registered,Licensed,,,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Non Communicable Diseases, Communicable Diseases, Hepatitis, Child Survival, Nutrition, Health Education and Community Mobilization, Maternal and newborn care",9,,,Yes,,No,,,,,,,,,,,,,,,,
04/17/1/1/1/0005,22093677,22093677,,,1986-02-05,Public,Local Government,Primary,Primary Health Center,"Monday,Tuesday,Wednesday,Thursday,Friday",08-06pm,Anambra,Onitsha North,Emmanuel Church ward 3,Ugwunabankpa st/Inside Emmanuel Church Premises,,6.79857,6.14553,0806-349-9744,,,,Operational,Registered,Licensed,,,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Non Communicable Diseases, Family Planning, Communicable Diseases, Nutrition, Health Education and Community Mobilization, Maternal and newborn care",,,,,,No,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
04/17/1/1/2/0042,39045483,39045483,,,1991-05-03,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Onitsha North,Emmanuel Church ward 3,"OwelleEbo, Opposisite Apams",,6.80621,6.14255,0813-256-0434,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), Immunization, Non Communicable Diseases, Family Planning, Communicable Diseases, Nutrition, Health Education and Community Mobilization, Maternal and newborn care",18,,,,,No,2,0,0,0,0,2,2,2,1,1,0,0,1,2,0,3
04/17/1/1/2/0023,74159468,74159468,,,1998-01-09,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Onitsha North,Emmanuel Church ward 3,64 Ugwunabankpa st,,6.78772,6.15593,0806-921-1006,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Tuberculosis, Non Communicable Diseases, Family Planning, Accidents and Emergency, Nutrition, Health Education and Community Mobilization, Maternal and newborn care",16,,,,,No,5,0,0,0,0,0,0,15,2,1,0,0,1,0,0,3
04/10/1/2/2/0031,36440849,36440849,,,2000-05-01,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Onitsha North,Emmanuel Church ward 3,Oweiie Ebo,,6.80513,6.14211,0803-392-8796,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Family Planning, Nutrition, Health Education and Community Mobilization, Maternal and newborn care",14,,,,,No,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,10
04/17/1/1/1/0004,83246578,83246578,,,2005-04-20,Public,Local Government,Primary,Primary Health Clinic,"Monday,Tuesday,Wednesday,Thursday,Friday",24hours,Anambra,Onitsha North,Main Market ward 5,Inside Christ Anglican Church premises,,6.77889,6.15583,,,,,Operational,Registered,Licensed,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,
04/17/1/2/2/0003,61831172,61831172,,,2010-06-08,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Onitsha North,Ogbeumuonicha ward 7,6 Court Road,,6.77899,6.15402,0703-011-2314,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,,9,,,,,No,1,0,0,0,0,0,0,0,0,0,,0,3,0,0,9
04/17/1/1/1/0003,18061222,18061222,,,2059-12-09,Public,Local Government,Primary,Primary Health Center,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Onitsha North,Ogbeumuonicha ward 7,24B Court Road,,6.78287,6.15672,0803-952-0500,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Tuberculosis, Non Communicable Diseases, Family Planning, Communicable Diseases, Nutrition, Health Education and Community Mobilization, Maternal and newborn care",5,,,,,No,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,3
04/17/1/2/2/0011,27669238,27669238,,,1953-12-05,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Onitsha North,Ogbeumuonicha ward 7,Opposite Holy Trinity Cathederal Onitsha,,6.77486,6.16003,0806-844-4352,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Tuberculosis, Non Communicable Diseases, Communicable Diseases, Hepatitis, Accidents and Emergency, Nutrition, Health Education and Community Mobilization, Maternal and newborn care",150,Yes,Yes,Yes,Yes,Yes,20,3,9,1,0,5,10,56,10,7,5,0,15,0,0,25
04/17/1/1/1/0010,53621435,53621435,,,2013-05-06,Public,Federal Government,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Onitsha North,Ogbeumuonicha ward 7,AreaCommand Enugu Road,,6.38537,6.15785,0806-670-0807,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), HIV/ AIDS Services, Non Communicable Diseases",10,,,,,No,1,0,1,0,0,1,0,3,1,1,2,0,4,0,0,3
04/17/1/1/2/0053,64519088,64519088,,,2000-05-10,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Onitsha North,Ogbeumuonicha ward 7,20 Ergeton Street Onitsha,,6.78203,6.15722,0703-784-9150,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), HIV/ AIDS Services, Non Communicable Diseases, Family Planning, Health Education and Community Mobilization",5,,Yes,,,No,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2
04/17/1/1/2/0007,76880243,76880243,,,1985-03-05,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Onitsha North,Ogbolieke 10,96B Awka Road,,6.80639,6.14833,0806-417-2357,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,Antenatal Care (ANC),12,,,,,No,1,0,0,0,0,0,2,4,0,0,0,1,1,0,0,1
04/17/1/1/1/0063,58342540,58342540,,,2017-03-04,Public,Local Government,Primary,Primary Health Clinic,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Onitsha North,Ogbolieke 10,St Stephen st/Inside Ogboye market,,6.79843,6.14812,08037747272,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Non Communicable Diseases, Family Planning, Communicable Diseases, Nutrition, Health Education and Community Mobilization, Maternal and newborn care",5,No,No,No,No,No,0,0,0,0,0,0,0,2,0,0,0,0,4,1,0,0
04/17/1/1/2/0059,75148439,75148439,,,2019-11-23,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Onitsha North,Omagba 1,"No 1 Oloh street ,Omagba",,6.81517,6.14692,0080-332-1889,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Non Communicable Diseases, Family Planning, Communicable Diseases, Hepatitis, Nutrition, Health Education and Community Mobilization, Maternal and newborn care",16,,,Yes,,No,3,0,0,3,0,0,0,9,1,0,1,0,1,0,1,10
04/17/1/1/1/0007,74479305,74479305,,,2000-01-05,Public,Local Government,Primary,,"Monday,Tuesday,Wednesday,Thursday,Friday",08am-06pm,Anambra,Onitsha North,Omagba 2,Inside Holy  Spirit catholic parish premises,,6.81651,6.14789,0803-774-9375,,,,Operational,Not Applicable,Licensed,Yes,,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Tuberculosis, Non Communicable Diseases, Family Planning, Nutrition, Health Education and Community Mobilization, Maternal and newborn care",1,,,,,No,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,1
04/17/1/1/2/0035,43264794,43264794,,,1998-03-07,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Onitsha North,Omagba 2,1 Umunya st Omagba,,6.82162,6.14967,,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), Non Communicable Diseases, Accidents and Emergency",15,Yes,,Yes,,No,2,0,1,0,0,0,0,3,1,2,0,0,5,0,0,3
04/17/1/1/2/0051,27901107,27901107,,,2015-03-08,Private,For Profit,Primary,Health Post,"Monday,Tuesday,Thursday,Friday",08am-06pm,Anambra,Onitsha North,Omagba 2,7 Ufuma street Omagba,,6.8205361,6.1560121,0703-161-5392,,,,Operational,Registered,Licensed,Yes,,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Family Planning, Nutrition, Health Education and Community Mobilization, Maternal and newborn care",1,,,,,No,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0
